id,obs_consumption_ele_last_12m,obs_consumption_gas_last_12m,obs_consumption_ele_last_01m,current_paid_cosnumption
f1807243efef20bdd722d0c41753e66a,-99940,0,-6879,0
11f5ee4f3327053c322d5b47ca135d67,563134,0,27336,0
f180823d574c35129010889dec0313e8,-3681,0,-323,47.88
f44ee4ee95d02662d049b21c79d1a880,7718,0,1573,175.54
f180724c6377f33a599394a4c87a3a68,-32247,0,-851,0
f54d94a3c6b61032eae5fb5f42337144,2419,0,402,57.61
f180724d7a6e483fba74b6140774db58,-788287,0,-59796,0
d5b324bb2039f6d8e000988f3043e8ca,43982,0,5384,550.77
f180823fa50dc8cc9b84d69cd6ab0143,-1047446,0,-115623,283.25
f1807240b0da18e644bac389ba02ab23,-5994,0,-800,82.51
f1807241fd3974f7ba0b35891fcfeb10,-13802,0,0,0
f180724080787fae10405ec2d8c79d6f,-305472,243034,-40667,0
079f5f9fd3d1674073feb0d5203f1933,363,0,6,0.86
184216b4292763b3ef69a09b9f4e24f0,4319,0,0,0
9abc34ceb3bf616600f1f3ed012c85db,90033,0,3974,572.21
f180724e0cdad615a18046cc0860d633,-4199490,728810,-456462,438.43
f18072413d857ed5896e249ef2cba9e6,-8081,0,0,0
f1808232d9d626a9dae3e187fa3c58bc,0,0,0,0
f180724a40bff4578895eb1614a2dcdc,-216969,0,-15528,82.57
f1807241a46deae1b6462d30355b6479,-1564106,406995,-136783,352.93
f1808235f410a65c91160febde0a6c8f,-470591,0,-28532,0
f180823dce386fc9f632d8e943c3dff6,-3811,0,-339,33.34
1122e6d86f9b2187b4ae5bd0f54ee668,2524,0,0,0
f18082317e088f70d1a0b9bbe270c40b,-8135,0,-1356,31.84
68be909939543532d92ae05948e221d3,5575,0,0,0
f18082307ba25a19f5ed4cab9af7d8a4,-22152,0,0,0
f180724edc99b77fa2923de0fdbc250f,-3864,16601,-321,47.12
1e0bc5bc5b7935daa9a98d1e8957b43d,9277,0,0,0
37ed8329b9a8715964c506d6b5b1a4d7,10304,0,0,0
f180724ba87bc2c573b0e79ea5ee0a3d,-259298,0,-30046,202.42
cf9ca40da4a2c909dc30a68937d3d9f1,15411,0,2099,308.78
59e8b6f8feedfb43c34f669d88a600f8,12889,0,1247,69.68
f1807247cbdf5ad657c2e82dedf69c0f,-19111,0,0,0
0d022e4d18ba432868b02c739b034fe2,14025,46024,1410,0
f180823c31affc17e4e629da2a0ee488,-44473,0,-6981,591.68
67f5df00c93da0f74ae8bf37683ec482,2865,0,0,0
f1808231ebe4b3af4bdda2136de9cef1,-24402,0,-2550,247.05
f18082353e0765064787df63c83c9093,-3776,0,-712,107.23
5d117899fb2653e3a95cd46891f0d8fe,12113,0,1245,121.36
e0a754354489e3eadc2cf5518fc883d3,16038,0,0,0
f1807241375629956ae637a4ca504d66,-32697,0,-5743,562.44
5d59d5f1a7bb45ae44adb6c5e46dbea7,55113,0,5863,871.54
701871291b7c92ba6c16e089ad297f25,19388,2924,1413,131.14
2051707eed3de17c6039d210e2f126f6,22655,0,4246,0
be2d3105f172cac1f8210c3e0cc48809,82628,0,10794,931.94
f180724c457b716da9e9f477e49b1203,-42621,0,-9902,924.1
941189653cac57854f4ab2abf918bd7d,36115,48222,2720,258.77
f18072400bf3995126e432218c5a50ba,-17064,0,-1207,117.16
f1807248c58f6675d36c6ff6f9e4caa4,-31534,0,-4490,380.72
057bea103a5d9a8afe79cca87f2034d9,27805,0,356,0
f180724f3a77746e8686b0e688559da3,-13626,76652,0,0
7c274fa43f53cc69a5f1ab11d472918a,117143,24,9600,894.15
f180823a446dc1bc097674b8726ff16f,-22965,0,0,0
013f68981653185623a6bb5bbcbe012f,78408,367557,7984,206.27
93d6d23424c9c4e7c33da64b3580a85c,5731448,0,771203,329.52
f1807240cc1c92311cdd96a67090cd34,-6230,3181,0,0
0fbbad87b2fe832f2d77d0d7b6fe200d,20378,0,2588,329.01
4b237d4bd9943dba340cec5f96740186,40346,0,3598,361.31
182017c3b76419404eee4688bed931df,6970,0,1543,52.11
edebcd733c5e1c6cc1721f18fcec3ac6,8234,1097,2479,246.23
0b1ea41871b394f1bedc451b203ea67e,3926060,1959386,469210,1031.22
a8fe0776ba76f421fbeda53df64f11a7,28933,0,4270,605.92
f1807240f5231100b2febab862f8dd8e,-38511,0,-3543,471.83
09da56b05bfe611d9633d06055510aae,34434,0,363,34.9
f180724dc1a3e5e0e2af9320e0f4f900,-13739,0,0,0
50d13518c0bf00946f5ec594bb7d0992,763882,0,58593,478.43
f1807243b75af05ccb950e16d3e508ca,-1162013,0,-106114,0
f18072470257bdd70bd85dff8167a373,-35530,0,-3911,377.28
f18082385ac6f9c2e169ba1a58e50288,-2882597,976731,-382647,107.82
6ddec26d7d1d6eb8103f7aedd2a2476b,6417,0,666,67.09
7fba7a1685b61073cde739ab3cf79442,10292,154707,0,0
c5b9fe7fd8d3a6f5d06fd40103dbc3e7,9547,0,1320,187.78
f1807240dccd1453f6f633a673aac4a0,-14078,0,0,0
b10e5f71492bd5804d572a96f4d4e50d,1335206,19826,184862,970.52
9006c8b7663ff0ff03ba4d364bf22bfa,6658,0,1039,150.42
5c6ec5b0116630d20c3c4633a0e42f71,4245,0,717,103.64
f1807242c20d3125d4018495bc28f268,-2662467,87653,-297614,1615.36
e6dc66c99cfb913948737f36c0d197f4,24012,0,0,0
c9006486ca75f3b05212fdab6687b77f,14199,0,0,0
077924655543cd8a3f2dcedabc66bbe0,13970,0,0,0
dcd1e8a294d137139ac1d7f300046446,44487,0,4018,110.17
a4ce285b9fc2c6c40914f2259161d8c6,17619,0,2230,59.47
f180724cf0868cb7fc3c99e0342db119,-8862,0,-2832,316.42
8752e89b598fbce4c5a3d93eb89f9205,598235,0,53253,95.91
d43d373ec3cfe586b12d1b44b019d7bb,74756,0,5720,530.65
f18082399125251ba1136d0aad111806,-239692,0,-15459,-148.96
49ffa8d0eaeeca6b797391bd30d60ef0,5608,0,653,96.33
d9a4a345aabdbb8305cc1ac4a57b263f,559465,0,63298,125.88
f180724eed336e1fb2ba4f9a15d6deec,-2902,0,-316,31.86
f1807240284068dc17b8051bb8603e27,-17559,0,-3749,374.43
f180724ecbdf432a7478847b5af3f667,-2793,0,0,0
1a7e0012539510b4314c97a9d5ca2ddf,4152,0,0,0
369889147ad7d872e7a055904cd844f8,52998,0,3538,344.59
52184de475a7f63165ad8add5b5d9056,2300,0,0,0
3060891665a1261020ea265d81efb976,174,0,42,6.24
32c5db4a966db99fe1a5101b4601fb38,113527,0,10654,14.68
f1808230af837073931dd6219536236f,-21416,0,0,0
f180724ab424d288a7d8c4fd82a61ecb,-6599,0,-326,32.51
f180724aee06f8212dcb10e571b6e2c5,-9532,0,0,0
f18082371e1f5d0c847b400424ce4180,-73731,0,-6369,20.8
94190033946d03dcf4d803e7c89f5b96,11190,0,1046,108.43
f18072409f90b643799c6a5f2ca0a2d6,-15782,12396,-398,4.29
dd3a3fe06ae7005268d88f11dd61322f,400931,46545,40482,855.78
f1807244b455332dfb583636188d15e5,-21733,0,-3254,470.81
168d7d396a88e3777b25e7144fd8a1ab,2927,0,234,23.01
f18082313e34c00bdcedaeffbcf7efed,-5822,19875,0,0
f180724d1c5fb5da4fbb8a6bb3044384,-3648,0,0,0
50a03ac7384bd74d5e2ab8be59557efb,105346,43092,10666,221.08
c9e9260bc95b818f46c2c6d78a62548e,146512,0,12181,0
f18082370b71df25157401f4f439d6da,-12863,1924,-746,67.3
f180823adfec8a906dfa5c6d836231e6,-110534,0,-7546,272.68
f180823977f81c553d2d779339ca26ba,-14672,2839,0,0
cb685760aac7647ebcfcae5ced75d223,108536,173,7495,211.18
f1807243b23df16ebc65f1321e1e9b1b,-2256171,100121,-62836,0
c490c40b074a57a84cce6864d3e7ab7e,8325,0,943,108.6
facdd61053e6ead385de41c96924bb50,9930,0,0,0
f18082335ef43919d3a14d6236a973fa,-287984,0,-21070,1075.33
f18072426d5c00953a5712367e273473,-7335,4275,0,0
6e4abae5589dabbbf0f875fa5d40f879,0,0,0,0
f18082309cd0724b221cd9668d6a2329,-61201,0,-6709,476.04
6ceac0d0feb70dd8c607be035dadc4aa,14103,0,324,0
21a368f58462640d87141702da33e9dc,3415,0,0,0
f18082306cc4d41d7b3fb49539f7e023,-207772,0,-18157,325.27
098b49e16d2ae5eba9c342cf80a4787a,21877,0,2749,36.2
416f0fba01e723e0203315445cc36b55,14993,0,0,0
f180724624b0339bc17c23eb074de76f,-22992,0,-1857,70.66
f18082389e1642005243c17b619fd04a,-6286272,0,-562863,777.52
ba9981f5691f6029428e7322acc036e5,18466,0,1980,0
f180823939c4e97e01615bf29910d878,-49423,0,-3095,447.63
f1808232039bdb9761b955900cd19dcf,-151801,119919,-13440,1263.18
aee8aa9bcd9ae75960e1bba1d0078389,7053,0,577,0
f1808237cfcff5ec8a77288c27c5d57c,-53338,0,-5299,0
650a7616de0968906c3580da3519a7ec,8168,0,600,52.97
7fecfc9ebd859c8fcdc8e46c0dfbcfef,1532234,0,131412,286.9
f180823af9e8d0ed1d746a7145697427,-2827,0,0,0
4642d436bd02af2c8e402a27b39255de,9248,0,2733,259.96
ed5fe9e1e61f51cd4448a7123818a7c6,26074,4440,1881,183.98
f1807243af268d17a2fe68bcf24a54b4,-8126,0,0,0
4747ec6d33861d613ba03fed22df6257,44076,0,3768,362.19
b98d5a0ea440d9babdc5d7c53cc8b8e2,361952,0,24550,327.61
b7eda06e15890e781c3bea37b7ef519e,2418,0,0,0
f18082332a1d3b148f675e9e9f657560,-134597,0,-9165,0
4b218c781d39eaed9e37b553801bb26e,67813,0,5941,217.97
f180823ae16a1ae95d9eb515ff89dfb2,-4604,0,0,0
f1808231612e9852a927d05e1c379272,-19876,0,0,0
f1808238237740ba2c4abf1833cb276e,-5090,0,0,0
1e98e574eaedc653ce2b2417bba2431e,41961,0,0,0
f180823ebd12a71c42bc8b6183ea6fc7,-4527,0,0,0
f1807242b39c7d782b196d163a99d35b,-11268,0,-1680,116.38
f78977710b9a8612ea79e71e9e25a50d,17054,0,0,0
f180823033016b77cf7974a8dc2d091a,-61377,0,0,0
79e28346509c4b3d3b8066e1293d1ab8,16487,9371,2103,110.76
f88ca4e625cf7f9a5d0ee84dd999c22b,44211,0,3662,0.51
f18072470d26b042830c6b746f5ff077,-20666,0,-677,0
826622e947a153c61159759ed74eb5f3,388977,0,39801,0
f180823da0ed5bed1d2a28c332c504e3,-7784,0,-694,56.35
d38f0fe5e1e52a3f8ae021122e1350dd,600238,0,46289,0
2b1eb9c765013acf5926011c7ca093c8,1976,0,0,0
f18082362bce5efaf4e21e7e8741037c,-53723,33493,0,0
9fd4d5644d05ddeb363629ec74d11f53,1549,12608,0,0
113824873d8c6a06e11e3d67c9962290,149586,0,0,0
f18082388b79e044d806b195c9f3ee66,-12170,0,0,0
62db210cc93cf358e3e899ee05e1c123,9688,0,809,42.14
f180823925635f456449764533b6aae9,-10839,11905,0,0
8bb259c813e29ef12a72a919945a6882,12320,0,0,0
402ba0895bbd2e496ce0c409d90ab550,9399,0,3040,284.01
97214bce011dbe96d1cfe1c351378ac2,-125276,0,0,0
95613035c2296d32f1a1d28937166265,99690,0,11539,13.98
f180724bbcab4d655929852eb0927417,-62945,96268,-5304,509.09
f1f24e9f048478c6d41fa05795b1d424,1540,43,21,1.83
f180724fac00017a98bf59e0a599e695,-21409,0,-1707,169.65
9c1da98f4b24fe29240e5e13ddc5e202,6207104,41532,558120,786.31
6b68203510e5ed786833a8dd7fbc27e5,286,0,62,6.06
f180823c3880be434f57a69a8a61072e,-6286272,0,-562863,968.25
f180724e5631f5d003679a309e5e245b,-326401,0,-43593,0
0681c62a8e80cc90a8612d35c36eee11,643092,0,34895,156.39
e444b5e61d11c42ca548dd3a5d81dc18,58867,0,6322,621.05
f180823204eba591de797470ec269db0,-23271,0,-2132,308.02
5a3399e3bfb3a7ea6b4c588821b8926a,4306656,888994,479030,357.22
f1808235644f65158ce324286f3430e6,-142883,0,-10231,96.28
f1807241cf95399e134bc4e148be3852,-10867,0,0,0
252618e9bd2a555cb75f88ab4350a21f,7891,0,0,0
cb264fe842006e54b412de795410828b,7888,0,0,0
e9f24b4a2a7eac29927bcffc94ce2cc0,6593,0,0,0
f1808235b43d54e75dfabd09096bf4de,-6906,0,-1118,121.03
d8e15436b055a13446d038d5383f8d40,14072,0,0,0
f1808237a204928f6a83ac0c52fdd71b,-811,0,0,0
8ecc43bf6868130b3727af3de1ade6d7,22058,0,3010,356.78
f9255df36ca7cd238d4c72941d06c04c,10355,395,2957,415.1
d9514936526156d0c3636c84b3b42731,1599694,0,208086,568.41
042b68abecd256b91b85834cabc09680,918,0,0,0
8654d175a052ad8a84ba9b50eb7f0eec,120188,0,14294,816.66
f18072482a8d07108d6169f997690cd2,-4967,25273,-842,82.37
f180724b4aa944bd5aef9a2dad6ebe12,-2940360,155531,-269980,1232.75
67a37238c86a1a817a8f8a73cb789435,1240756,0,123925,350.01
f1807243e89101fe4269219603d11cf1,-34252,0,-791,0
f18082317345a26d378c2e429030cfcb,-31243,0,-3198,327.39
1cf20fd6206d7678d5bcafd28c53b4db,131,0,0,0
0013f326a839a2f6ad87a1859952d227,267414,0,19394,195.2
f18072452095e194b7565446c17a8f56,-9899,0,-507,0
f180724251777139bf5610873597003d,-68229,0,-6410,20.35
f1807246a3fec48c952e1be7c4f39bd4,-1848,0,0,0
06d06896e783666ac404d87c4408da10,3708,0,111,16
77142befa8e342b9e3b6db732cf88cc4,3760,0,0,0
6187a71186583ed2457d182b00b632c5,15150,0,4700,494.42
f1808234c0f95ea1c761a3e727ea8544,-28881,150453,0,0
1e1018feeef533923a964e7fe7879cbb,4039,0,0,0
f18072486e48b31a80b58689626d3382,-18185,0,0,0
f18082370a9ed60684cc03a58b1c53cd,-6900,0,-539,99.21
30a9de626f74b3856f9c24e55ea7fb85,19271,0,3566,91.16
f180724f05643fbea37ba61dffa3fc48,-8966,0,0,0
31f1f36ec0d0eff1d2254cc58bd8f784,8834,27736,0,0
1f9f7ef7528fbb7ef55dd67532c0fa02,8581,19546,850,83.55
f180724c7f18cc1f5504e89d8370a068,-2319196,200558,-311907,639.25
f5d89ae448b4b14e067a8fb78b8e4c0c,105568,0,20760,68.11
6eaaa43e4cd6fbc3f44815177826431d,24699,4655,0,0
f180823e2203d259f305531115387463,-5767,0,0,0
e1afa03fb30cc132a9e67215af59b036,1743025,0,106161,0
f18082321913ff3acb3898a798b66025,-3037,0,0,0
f1807248b1e3ba2797a7eb99e9243104,-49098,41590,-5666,204.29
f18082386f8af7424c2b164d19915441,-11426,7455,0,0
d7795705ea776f0659c0db37f88c73ce,149462,0,14718,1421.85
f180823ab5904808bd6caa4d864f7264,-9030,0,0,0
a43bc597a413b5975d084ba5863d3b7f,23987,0,2637,260.72
b154e632386239806c85be0e367be006,20131,0,1583,151.27
e6610ce87f82c513f843d0d98204622b,818735,524776,71115,778.72
135aefc03af3576726ebf64137817c27,4939487,1860052,426460,305.46
f180823032dd6015c15e4e3b1e2d5acc,-2662467,87653,-297614,177.94
83d51a7bf49f6400e479f53de8776c4d,5963,4017,0,0
0dd1c8076650806fbe3ef3196359e8fe,22118,0,0,0
28f7aec1f7be96581a6e3a9b1a642715,29164,0,5994,590.47
f1808231ab928119db2b7243cf1d8add,-143739,0,-11306,575.6
f180823bd098b765ededd731b7fbe3cb,-397503,0,-37383,107.81
f180724a8ae4eee59a37685dcc0bde80,-50086,0,-3825,370.75
f180823b73af05f4d07514c9b0d9ab91,-24908,0,-3891,147.34
a62a87b5c8a9ab5ce31d858197938f91,16738,2527,0,0
f18082364103a2f99ff02339cdc1efb4,-257505,0,-17008,188.4
f6e4fd2b41ec0b570f420fbf56455a37,3056,0,99,11.96
f18082305c710143c004276f0b899550,-1662549,0,-106463,50.12
f18072423639b725d4efdbfe990a59c1,-536,0,0,0
771b457dbe71f234985b998bfeebd541,5438,3856,496,0
b0d968cbb43db42296ceb85a8f99bde8,2818,0,175,25.33
7b418bf1b32fb7a512e3461969ed612b,5411,0,0,0
113e86904ccb73f8d6710963612675a7,40414,0,16706,2440.23
1c287f3d79197086b8205b5b504d23a3,0,0,0,0
f180823dda1ea31b4b7041821adf0712,-1174340,0,-84304,0
f18072451743fb1e3dfd96c74a978b2c,-23486,0,-1821,179.13
c97e0c5e7e2bde4133c932a94f0d2a3b,2156,0,191,28.19
3e5b4b4a776f2afe1cb2067cdd41cce1,2198,0,196,18.89
f180724d262181eb8639eb06956cccca,-22732,0,0,0
f9bb6cf2dbdeea14028972959c019a2c,4905,0,468,46.09
f180724681aaf6d3ed216ce239875c4f,-8553,8125,-25,2.47
f180823798d037b21f9ad176b956f618,-6485,0,-696,67.43
4e4f8677c7d69296ac3a323cc56d0669,41284,10054,3552,358.2
9f470ee1f06bc498baee9c057aeea521,8123,0,385,34.05
f180724316827a45c61c630a3ce0dde2,-5222,0,0,0
310b554f3d82de0a096dcb0c66d3472f,91780,0,5778,830.61
f180724f724ad121fa512d07a46f7932,-7896,0,-367,0
f1808230de3338e45d114f34efe93e7b,-93143,25789,-9406,356.56
de1a8e1131359ab53121981a68737c11,52275,0,3257,0
02179c040d0e5adf13756282fd04d8b5,17339,0,1416,202.47
f1807242d3cef56c2a99642c62c3f136,-4,418995,0,0
e3da1369fe0627364ca8ab22272bb8d2,5698,0,33,0
f1808233f2be244f70a31d55a8822f43,-12549,0,-3505,320.1
f1807243da60c4c4ac33a4f30e1801c2,-4028,297,-352,29.79
f180823e24bbeac6df6fd4731293e096,-61208,550990,-1296,186.64
01cf6adaab6c04ff57fe28f94bd108a3,155986,0,12685,350.51
938ebb29822fad50bc2b32e28e39f83f,1845,0,0,0
e5631f5d003679a309e5e245bc646fa5,326401,0,43593,0
f18082337152a22d34b75fb751f273e4,-13369,0,-3104,188.48
15d5940c7ac88d1b59a3a29018fde112,9834,0,0,0
957157ca91b17a80083523cb8204c06e,34357,0,3600,400.58
f1807240f22e2dae2481995e4671dbe9,-11916,12919,0,0
f18082376aa8845e7c32dc4ce46a3b74,-8816,8810,-193,18.43
43cd8668e2a3749eb26475f2074b814a,4920,5893,1132,158.44
7663fd2782b9b1235f1c4b4c27bcd6d1,18351,0,1689,158.5
289b9263596a5f374ffaadb899b88942,128692,0,7777,490.7
f18082371b1a113871c38009c6d0c5f3,-2929,0,-423,61.13
f1807243df38ca129278939ccc52948a,-968714,0,-44999,186.42
f1808233fbd7246c9dd91d4d3ec5418e,-2655,0,0,0
f180724676b770e67d1ae51f56db5a8b,-13947,2588,-700,88.01
ef1471bffdfcd60ab1950e63f46c520e,52275,0,3257,309.91
f18082344e0b8d60cac11ae2e78da946,-25118,0,-4407,629.59
0f087129e660300b128d2b58572e2664,1704,0,0,0
a9386d926b399a47656bba601d41cd5f,18643,0,0,0
54e6ac0226176d4b3f4665da110746ac,1003,0,147,21.55
f180724545e83229ff364f4aaf7d066b,-18826,0,-4130,595.61
80e3225cda9c7af4db8b928419cf5662,19296,34617,0,0
233d8138e4d555b73486c9b6074138b6,10506,0,802,75.57
f1808232246d13a48b81ac0e82e405ff,-1103,0,0,0
f180724585061cbd3ec06bef1ca4a3c6,-32943,0,-735,70.48
f180823ba6bb12945845b699ef11bf8b,-11343,0,-640,62.33
f1807248cc65d45410fa74180b7c37d9,-186099,165062,-21795,2031.3
3637e9c9c03ed53300e73822c0e63ff4,4059,0,0,0
f18072455de55ac6344f0bea14b08076,0,0,0,0
f1807243b66fd6c714a43bc668def64c,-12472,190664,-1354,32.72
20a720973574468a64ee8cb8c31958ff,16660,0,0,0
1416c667d40389aa7a01dba01360205c,33468,0,7998,693.36
d11fc9921e9a438b333d0a4dda4db1e8,35242,0,1,0.1
4f5377de3678f873bdbd6e3840088365,20183,3197,44,3.7
7ef23581e59aa21b8311eaf5b6de1b09,19499,0,0,0
edc99b77fa2923de0fdbc250fbd3b75f,3864,16601,321,47.12
a0bbb9c796012dcb3bf30ae1aa618627,23483,3339,1752,172.29
7596c2e8e21251f632376d37127a89f0,3136,0,0,0
960958c34ef6937ed0bd5300d834e7bd,5153,0,0,0
e95f1188dbc7247fbc0104d283e22dfe,401088,0,33580,2847.85
f180823c00a78738791faa36b819d177,-15966,0,-3246,465.11
f180823c62fd1e100294c0e6dc5308f7,-26921,0,-1581,123.03
f1808230d8fbcc04b7eb762138634216,-13858,0,0,0
fdf584a6f147106e30300fba532806b8,191955,0,23502,2140.35
f1807244d1c3626c612bd57348de8ee1,-1321,0,-265,37.93
f180823231e11570dfa943703f3a172b,-79310,0,-184,0
f180724dd321063ab13d593913e3428c,-896857,0,-113068,605.5
f180823ff3d1fbbab011fc4725bd2c9a,-18485,0,0,0
027e35b0c3fee003163864d96a856da0,21334,4980,3383,494.86
f180823315a4ca4185b06130017a1068,-21472,0,-1853,264.02
acf5cfd95cdaaf8ffe21e38398c7747d,272184,0,31910,209.27
f180724599d7e144af83956678b4f527,-33631,11,-6455,173.5
f1807249f14d1d963e9d95295a858599,-22201,0,-3378,0
249ff7ee27ad3df2b10f8f55e5522d74,1844,0,0,0
22c4a4c4211b447fbb236c97b9c2368d,2456,0,310,31.73
ec7b71840fbee1ca40191d11ddb1ef56,14097,0,1161,116.47
f18082337d8bc9993b445922a8ab3a2a,-4100379,0,-443297,0
f18082345950081a8da5dabdf4e05c7b,-32861,0,-2388,235.53
f180724d38f0fe5e1e52a3f8ae021122,-600238,0,-46289,0
f84c189ad65fcbf574654d29ba82cff7,41608,0,6300,71.84
f180823c83853e4d621cb7f2c6080b35,-40763,0,-7896,757.94
8309fbea7ee8265024cea462b5cd9124,12571,2922,419,41.15
f1807244f5836fa859d955ab2192a20e,-16922,0,-2508,259.23
f1808239905169e9e1a8438d4ad7768a,-34991,0,-763,0
f1808237007ee229e5e2a5eedac6b69c,-137311,0,-11172,1047.75
61e1eb62e6d3b5696ceceabe68330e48,38518,0,0,0
37879ab84ee1d3a2fdbc8e81427fe7a3,10305,0,0,0
f180823f9b2f1927e7a57a4f58ea10b9,-1017579,187578,-120936,643.84
f18072499801bac797dff2e4e5b5d96d,-137910,0,-766,63.33
f180823a948c956f2adefe5f7747a7e4,-19742,0,0,0
f18072486431925d0cdd9a83775efd50,-71856,0,-4715,460.42
92481db0b91933c7a9fd01be9d950a97,21053,0,2727,282.05
f180823126d0bc98fa7cd7d46b137c12,-75482,0,-15964,2348.77
ed820650e892d333c7d5da28eee6fc1c,34140,245047,3419,343.89
f1807242210d8be8417668afb9ddab00,-121885,0,0,0
c5e099b56a157540b891e58338d68d44,3710,0,624,125.55
f180724003742573bb97760793ced15e,-5463,0,0,0
f1808238c20e4beae3c5bbe75f467052,-45111,0,0,0
8af686c6e60aaa534ef3f9aedbbfd9ad,32908,2223,0,0
f180724f24902e517956f2930a8d863c,-23455,0,-1739,163.94
f180724f5b709321d3bc42ff27eb02f9,-23871,0,-1020,0
f1807242ce6130f00b00ab0eea68dabe,-121714,0,-8772,0
f180823113e86904ccb73f8d67109636,-40414,0,-16706,2440.23
f18072493647fcf3439497a3d0bc16b0,-19598,0,-3095,371.92
f1807242c87cb335c487355008bf5620,-27795,0,-1620,0
f180724298619a8a677d264ef12304f3,-55611,64219,-3353,336.67
c844db61e1b0881bba6d350cbed35469,4707,0,917,114.04
bbdcfe1427a73f8b59fecd9f086aedee,17282,0,6529,549.16
0187ff17d6e9f030d4715f59a3d46397,1572886,0,166003,479.68
d7e6ed37dcfdb8f2cc7f4a461a7df446,6781,0,0,0
f180823afb1b80e79d8aa97202d83619,-43397,0,-5881,516.25
caabf39effcd34a6021fa924849ef4fa,10146,0,0,0
3e1d38ed639e08aa58386839f6dec73c,5932,0,0,0
f180724e29b93b1de3214f59a23d507e,-2792,0,0,0
d9fba4b0af7c2cfe78d352aadadfd8e6,13178,0,0,0
d500c49b61206a9cfc98088ff9759189,725751,0,48836,476.17
1766fa0335f15ecfac2367c566d8afce,118874,0,9977,0
06eaaa37b72f4ed9fae2f61504b24ba9,75618,0,3413,38.47
499415ae313766e0ccaaccaebeae3a7d,48196,19989,4351,427.36
f1808234b9699e29fdacb79af22fde80,-3918,0,0,0
f180724063b1e6cb4b5790a4c95e7fd2,-4390,594,0,59.43
c7b06c396e32ea0ec165e2db85c295b5,15679,0,2305,87.03
896bc508c7da6123435852240c4bbbd0,26541,0,0,0
993d56ee8fc5d9f0907117ad0897edde,73337,0,19311,1885.76
f18072456b0476ca285066ee24eea13a,-10642,0,0,0
f18072463a00ad5747177503943eb107,-25974,0,-2387,240.49
72861161d0aad9f207b3a9479ca0a3e4,2013,0,0,0
82326cc887c3b86d30e7215bf872e8a4,4470,2775,0,0
f1808237381a38a8f9b068753b57d86a,-162835,0,-15453,602.91
8a5768429d3898ace11449c92e14b11c,15225,0,0,0
0ee5d4aae0d765120dbec243987931ce,5433,0,79,8.03
afb1b80e79d8aa97202d83619a6eabb1,43397,0,5881,516.25
f18072466536047273d55458a15c4f3c,-32760,0,0,0
c29e640de1719f63e741e263ff501a6d,15493,0,0,0
3aa0946539349273d679cf1cbcc111ae,21380,0,3006,170.11
3d621dfd649cf98de8092332b86d7d5c,916711,0,66423,0
f180724e6eb012ed11854717e1dd1c70,-3713,0,-347,65.22
f1807246edb02197e8cc7987618d7687,-123803,67816,-5194,504.69
f18082344d606556b5f6d9aad970c286,-16561,0,-1139,0
7adfee1c09d035edabd46443d219f8ac,3914,319,138,13.15
f1807247fc1089a9d53f8c15b1f542ce,-70184,0,-1367,0
f18072447575a9fcc5fa0313d671355b,-21151,14937,-1789,174.01
f180823ec2105d56ed5123bd5dffa6bc,-16270,0,0,0
f51b76791c92846c227110974506a63d,151867,0,0,0
4b6ef3395679143844d001d2ddbb5c01,12534,76283,1445,214.71
d29ce9ecb7139b3f13471c4f8891bddf,2862,0,0,0
